artist,song,time,bpm,year,genre,details,album,track num
Spice Girls,2 Become 1,3:57,144.0,1997,Rock/Pop,../track/HOTTRACK_046/HOTTRACK_046-10.html,Hott Tracks 046,10
Spice Girls,2 Become 1,3:58,144.0,1997,Rock/Pop,../track/POBO1997_001/POBO1997_001-12.html,Promo Only - Best of 1997 - Disc 1,12
Hooverphonic,2 Wicky,4:08,102.2,1997,Alternative,../track/HOTTRACK_051/HOTTRACK_051-17.html,Hott Tracks 051,17
Zuckerbaby,2wice As Hard,3:50,106.8,1997,Rock,../track/ZUKRBABY_STD/ZUKRBABY_STD-04.html,Zuckerbaby,4
Alana Davis,32 Flavors,3:44,94.3,1997,Rock/Pop,../track/ALNADAVS_BIM/ALNADAVS_BIM-01.html,Blame It on Me,1
Alana Davis,32 Flavors,3:43,94.3,1997,Rock/Pop,../track/HOTTRACK_057/HOTTRACK_057-15.html,Hott Tracks 057,15
Alana Davis,32 Flavors,3:44,94.3,1997,Rock/Pop,../track/POBO1997_002/POBO1997_002-17.html,Promo Only - Best of 1997 - Disc 2,17
Alana Davis,32 Flavors,3:46,94.3,1997,Rock/Pop,../track/WOMNSONG_001/WOMNSONG_001-06.html,Women & Songs,6
Matchbox Twenty,3Am,3:44,108.0,1997,Rock,../track/HOTTROCK_022/HOTTROCK_022-04.html,Hott Rocks 022,4
Aaliyah,4 Page Leter [Timbaland's Main Mix],4:32,119.0,1997,R&B,../track/HOTTRACK_042/HOTTRACK_042-16.html,Hott Tracks 042,16
Boyz II Men,4 Seasons of Loneliness,4:26,98.4,1997,Pop,../track/HOTTRACK_053/HOTTRACK_053-01.html,Hott Tracks 053,1
Boyz II Men,4 Seasons of Loneliness,4:28,98.4,1997,Pop,../track/POBO1997_005/POBO1997_005-09.html,Promo Only - Best of 1997 - Disc 5,9
BKS,4 Your Love,4:38,127.8,1997,Dance 1990s,../track/DANCEUSA_097/DANCEUSA_097-05.html,Dance Mix Usa 97,5
Our Lady Peace,4Am,4:17,123.4,1997,Rock,../track/OURLADYP_CLM/OURLADYP_CLM-05.html,Clumsy,5
Brownstone,5 Miles to Empty,3:45,134.6,1997,Pop/R&B,../track/HOTTRACK_045/HOTTRACK_045-12.html,Hott Tracks 045,12
Dru Hill,5 Steps,4:20,106.0,1997,Pop/Rock,../track/HOTTRACK_059/HOTTRACK_059-08.html,Hott Tracks 059,8
Sneaker Pimps,6 Underground [Nellee Hooper Edit],3:49,85.0,1997,Electronica/Rock,../track/HOTTRACK_041/HOTTRACK_041-07.html,Hott Tracks 041,7
Eddie Floyd&Wilson Pickett&Jonny Lang,634-5789,3:29,107.0,1997,Soundtrack/Blues,../track/BLUESBRS_ST2/BLUESBRS_ST2-09.html,The Blues Brothers 2000,9
? & The Mysterians,96 Tears,3:01,123.6,1997,Rock,../track/DTRANDOM_003/DTRANDOM_003-14.html,Dance Time - Random Tracks - 003,14
Sheryl Crow,A Change Would Do You Good,3:48,127.4,1997,Rock/Pop,../track/HOTTRACK_045/HOTTRACK_045-15.html,Hott Tracks 045,15
Sheryl Crow,A Change Would Do You Good,3:45,127.7,1997,Rock/Pop,../track/POBO1997_003/POBO1997_003-16.html,Promo Only - Best of 1997 - Disc 3,16
Vilayat Khan,A Cry From the Heart,1:55,111.1,1997,Soundtrack,../track/KAMSUTRA_ST1/KAMSUTRA_ST1-19.html,Kama Sutra: A Tale of Love - Original Motion Picture Soundtrack,19
Mychael Danna,A Jewel of the Gutter,2:54,115.1,1997,Soundtrack,../track/KAMSUTRA_ST1/KAMSUTRA_ST1-10.html,Kama Sutra: A Tale of Love - Original Motion Picture Soundtrack,10
Jocelyn Enriquez,A Little Bit of Ecstasy,4:09,130.0,1997,Electronica,../track/ALLSTARS_097/ALLSTARS_097-02.html,Dance All Stars 97,2
RuPaul,A Little Bit of Love,7:05,133.9,1997,Fast Dance,../track/HOTTRACK_041/HOTTRACK_041-02.html,Hott Tracks 041,2
Nancy Wilson,A Lot of Livin' to Do,2:06,122.1,1997,Slow,../track/ULTLOUNG_015/ULTLOUNG_015-04.html,"Ultra Lounge 15: Wild, Cool & Swingin' Too!",4
Spacekid,A Million Potsies,2:46,83.2,1997,Alternative,../track/HOTTROCK_012/HOTTROCK_012-11.html,Hott Rocks 012,11
Denis Leary,A Reading from the Book of Apple,1:32,114.1,1997,Comedy,../track/DENLEARY_LNL/DENLEARY_LNL-13.html,Lock 'N Load,13
Natalie Cole,A Smile Like Yours,4:07,114.3,1997,AC,../track/HOTTRACK_049/HOTTRACK_049-17.html,Hott Tracks 049,17
Boyz II Men,A Song for Mama,4:34,150.1,1997,R&B/Pop,../track/HOTTRACK_057/HOTTRACK_057-08.html,Hott Tracks 057,8
Savage Garden,A Thousand Words,4:00,105.1,1997,Rock/Pop,../track/SAVGARDN_STD/SAVGARDN_STD-09.html,Savage Garden,9
Korn,A.D.I.D.A.S.,2:32,128.1,1997,Rock,../track/HOTTROCK_016/HOTTROCK_016-16.html,Hott Rocks 016,16
Silverchair,Abuse Me,3:56,103.1,1997,Rock,../track/HOTTROCK_012/HOTTROCK_012-18.html,Hott Rocks 012,18
Sarah McLachlan,Adia,4:03,152.0,1997,Rock/Pop,../track/WOMNSONG_003/WOMNSONG_003-08.html,Women & Songs 3,8
Tool,Aenema,6:39,120.5,1997,Rock,../track/HOTTROCK_019/HOTTROCK_019-05.html,Hott Rocks 019,5
Motley Crue,Afraid [Swine Mix],3:54,124.0,1997,Rock,../track/HOTTROCK_016/HOTTROCK_016-19.html,Hott Rocks 016,19
John Mellencamp,Ain't Even Done With the Night,4:38,120.3,1997,Rock/Pop,../track/JONMLCMP_GH1/JONMLCMP_GH1-02.html,The Best That I Could Do,2
Alabama 3,Ain't Goin' to Goa,3:54,88.1,1997,Rock,../track/HOTTROCK_023/HOTTROCK_023-17.html,Hott Rocks 023,17
McFadden & Whitehead,Ain't No Stoppin' Us Now,3:39,113.1,1997,Pop/Soundtrack,../track/BOOGNITE_ST1/BOOGNITE_ST1-09.html,Boogie Nights - Music From The Original Motion Picture,9
Apollo 440,Ain't Talkin' 'Bout Dub [@440 Instrumental Version],4:57,164.0,1997,Fast Dance,../track/HOTTRACK_042/HOTTRACK_042-02.html,Hott Tracks 042,2
Genesis,Alien Afternoon,7:53,156.1,1997,Rock,../track/GENESIS__CAS/GENESIS__CAS-04.html,Calling All Stations,4
Daft Punk,Alive,5:15,128.7,1997,Electronica,../track/DAFTPUNK_HMW/DAFTPUNK_HMW-15.html,Homework,15
Celine Dion,All by Myself,5:07,120.1,1997,Pop,../track/HOTTRACK_038/HOTTRACK_038-10.html,Hott Tracks 038,10
Celine Dion,All by Myself,3:57,120.7,1997,Pop/Rock,../track/POBO1997_004/POBO1997_004-09.html,Promo Only - Best of 1997 - Disc 4,9
AllureFeaturing112,All Cried Out,4:35,139.8,1997,R&B,../track/HOTTRACK_051/HOTTRACK_051-14.html,Hott Tracks 051,14
AllureFeaturing112,All Cried Out,4:36,139.8,1997,R&B,../track/POBO1997_001/POBO1997_001-05.html,Promo Only - Best of 1997 - Disc 1,5
Sister Hazel,All for You,3:38,137.0,1997,Fast Rock,../track/HOTTRACK_043/HOTTRACK_043-16.html,Hott Tracks 043,16
Sister Hazel,All for You,3:41,137.1,1997,TBD,../track/POBO1997_005/POBO1997_005-18.html,Promo Only - Best of 1997 - Disc 5,18
702,All I Want,3:57,94.4,1997,R&B,../track/HOTTRACK_052/HOTTRACK_052-06.html,Hott Tracks 052,6
The Offspring,All I Want,1:51,86.9,1997,Rock,../track/HOTTROCK_012/HOTTROCK_012-12.html,Hott Rocks 012,12
K-Ci & JoJo,All My Life,5:17,128.0,1997,R&B,../track/HOTSTUFF_021/HOTSTUFF_021-04.html,Dance Time - Hot Stuff - 021,4
K-Ci & JoJo,All My Life,5:17,128.0,1997,R&B,../track/HOTTRACK_059/HOTTRACK_059-17.html,Hott Tracks 059,17
Queen Pen,All My Love,3:24,102.9,1997,Rap,../track/HOTTRACK_059/HOTTRACK_059-15.html,Hott Tracks 059,15
Frank Sinatra,All or Nothing at All,3:00,97.3,1997,Jazz,../track/FRANKSIN_G1A/FRANKSIN_G1A-01.html,Portrait of Sinatra - Disc A,1
Mychael Danna,All Pure Spirit,2:59,114.9,1997,Soundtrack,../track/KAMSUTRA_ST1/KAMSUTRA_ST1-09.html,Kama Sutra: A Tale of Love - Original Motion Picture Soundtrack,9
Econoline Crush,All That You Are,3:39,96.1,1997,Rock,../track/HOTTROCK_020/HOTTROCK_020-11.html,Hott Rocks 020,11
Crewz Control,All the Way [Club Mix],3:59,128.0,1997,Fast Dance,../track/HOTTRACK_042/HOTTRACK_042-05.html,Hott Tracks 042,5
Megadeth,Almost Honest,4:02,134.0,1997,Rock,../track/HOTTROCK_021/HOTTROCK_021-17.html,Hott Rocks 021,17
Frank Sinatra,Almost Like Being in Love,2:42,126.9,1997,Easy,../track/FRANKSIN_G1B/FRANKSIN_G1B-10.html,Portrait of Sinatra - Disc B,10
Bee Gees,Alone,4:18,110.0,1997,Pop/Rock,../track/HOTTRACK_047/HOTTRACK_047-15.html,Hott Tracks 047,15
Jamiroquai,Alright [D&C Electro Groove Mix],3:57,105.4,1997,Fast Dance,../track/HOTTRACK_051/HOTTRACK_051-16.html,Hott Tracks 051,16
Sophie Zelmani,Always You,2:52,98.8,1997,Soundtrack,../track/MBFWEDDG_ST1/MBFWEDDG_ST1-10.html,My Best Friend's Wedding - Music From The Motion Picture,10
Rick McGhie,American Pie [Live],8:02,131.7,1997,Easy,../track/RKMCGHIE_LV1/RKMCGHIE_LV1-02.html,Rick McGhie,2
Los Sabrosos,Amor De Adolescente,5:11,133.2,1997,Latin,../track/MERENGMX_001/MERENGMX_001-04.html,Merengue Mixes Y Mas Mixes...,4
Compay Segundo,Amor De Loca Juventud,3:23,141.7,1997,World,../track/BUENAVSC_STD/BUENAVSC_STD-10.html,Buena Vista Social Club,10
Porn Kings,Amour (C'Mon) [DJ Supreme Remix],6:39,136.9,1997,Fast Dance,../track/HOTTRACK_047/HOTTRACK_047-01.html,Hott Tracks 047,1
Porn Kings,Amour,3:26,138.1,1997,Electronica,../track/ALLSTARS_097/ALLSTARS_097-15.html,Dance All Stars 97,15
Zuckerbaby,Andromeda,4:07,88.8,1997,Rock,../track/HOTTROCK_017/HOTTROCK_017-17.html,Hott Rocks 017,17
